Name,subject_id,RA_y,Dec_y,date_obs,transFrac,medianFlux(mJy),eta,V,pc_dist(arcmin),Known?
BfS 0,70785323,255.424,-48.776,14/04/2018,0.4,13.2,83.7,0.05,11.2,0
BfS 1,70785357,255.364,-48.97,14/04/2018,0.9,11.2,395.4,0.11,17.3,1
BfS 2,70785384,254.71,-48.877,14/04/2018,0.5,4.7,26.8,0.07,39.7,0
BfS 3,70785398,255.441,-48.675,14/04/2018,0.6,0.7,1.8,0.11,12.5,1
BfS 4,70785401,255.369,-48.499,14/04/2018,0.4,0.4,0.6,0.14,22,1
BfS 5,70785440,255.156,-48.946,14/04/2018,0.5,1.7,6.6,0.09,23.6,1
BfS 6,70785461,255.634,-48.85,14/04/2018,0.9,0.6,4.3,0.19,4.6,0
BfS 7,70785641,255.291,-48.597,14/04/2018,0.7,3.9,100.6,0.15,20.1,1
BfS 8,70785723,255.117,-48.429,14/04/2018,0.6,0.6,1.1,0.11,31.9,1
BfS 9,70785821,256.988,-48.972,14/04/2018,0.4,8.8,130.5,0.09,51.8,0
BfS 10,70785881,255.917,-48.67,14/04/2018,0.4,0.5,0.9,0.11,11.1,1
BfS 11,70785898,255.706,-48.79,01/02/2020,0.7,2.5,22427.6,1.86,0,1
BfS 12,70785951,255.983,-48.932,14/04/2018,0.6,3.6,62.6,0.13,13.9,1
BfS 13,70785952,255.557,-48.56,14/04/2018,0.8,1.4,3.6,0.08,15,1
BfS 14,70785973,256.443,-48.806,21/03/2020,0.5,0.2,0.6,0.23,29.2,1
BfS 15,70786097,289.084,10.836,28/02/2021,0.9,0.8,7.6,0.32,18,0
BfS 16,70786101,288.964,10.94,05/04/2021,0.4,0.2,8.7,0.49,9.8,0
BfS 17,70786128,288.798,10.946,24/07/2020,0.6,37,66097.3,1.51,0.3,1
BfS 18,70786366,288.4,10.354,08/12/2018,0.4,8.1,8002.1,0.24,42.3,0
BfS 19,70786703,282.208,-1.497,08/11/2021,0.4,4.8,37,0.46,0.3,1
BfS 20,70786771,282.098,-1.4,28/02/2021,0.7,15.2,5,0.05,8.6,0
BfS 21,70786879,282.207,-1.499,08/11/2021,0.9,15.7,984.2,0.67,0.4,1
BfS 22,70786931,282.08,-1.679,04/10/2021,0.5,80.4,12.5,0.02,13.6,0
BfS 23,70789583,271.374,-30.12,22/05/2021,0.4,9.1,23,0.02,36.4,0
BfS 24,70789643,270.424,-29.801,31/07/2021,0.6,0.5,1,0.07,17.6,0
BfS 25,70789787,271.225,-29.74,07/05/2021,0.6,1.9,2.9,0.03,24.7,0
BfS 26,70789902,270.687,-30.534,12/06/2021,0.6,2.1,2.1,0.02,42.6,0
BfS 27,70789937,271.029,-30.293,15/08/2021,0.5,127.3,99.8,0.02,31.2,0
BfS 28,70790055,270.934,-29.951,12/06/2021,0.5,1.6,2.4,0.04,11.7,0
BfS 29,70790141,270.681,-29.466,12/06/2021,0.4,2,3.8,0.03,22,0
BfS 30,70790174,270.699,-29.561,07/05/2021,0.8,2.4,3.5,0.03,16.2,0
BfS 31,70790384,271.383,-30.411,12/06/2021,0.4,6.2,20.9,0.03,47.7,0
BfS 32,70790438,271.424,-30.144,07/05/2021,0.5,8,11.9,0.02,39.3,0
BfS 33,70790547,270.539,-29.637,19/06/2021,0.7,1.9,8.5,0.05,16.2,0
BfS 34,70790666,270.559,-29.467,05/09/2021,0.4,3,1.8,0.02,24,0
BfS 35,70790672,271.167,-29.189,19/06/2021,0.5,6.2,36.7,0.04,43.7,0
BfS 36,70790754,270.762,-29.83,15/05/2021,0.4,0.1,13026.9,2.38,0.2,1
BfS 37,70790813,270.399,-29.923,12/07/2021,0.4,1,2.2,0.05,19.7,0
BfS 38,70790848,270.833,-29.289,23/10/2021,0.5,0.8,2.4,0.07,32.5,0
BfS 39,70790883,271.545,-30.141,27/05/2021,0.7,2.1,4.5,0.03,44.9,0
BfS 40,70790918,270.65,-29.852,05/06/2021,0.5,2.8,14.3,0.05,6,0
BfS 41,70790962,270.488,-30.022,05/09/2021,0.5,0.3,6.6,0.28,18.4,0
BfS 42,70790975,270.723,-29.525,14/11/2021,0.8,1.7,3.5,0.04,18.2,0
BfS 43,70791011,270.369,-29.511,15/08/2021,0.4,2.5,4.1,0.03,27.9,0
BfS 44,70791023,270.899,-29.293,15/05/2021,0.4,1.5,3.4,0.04,32.8,0
BfS 45,70791355,272.603,-36.434,31/08/2019,0.5,2.3,6.4,0.04,40.3,0
BfS 46,70791434,272.517,-37.488,16/08/2019,0.5,14.9,64.9,0.03,36.1,0
BfS 47,70791686,273.023,-36.568,23/08/2019,0.4,17.7,200.6,0.06,50.1,0
BfS 48,70791761,271.248,-37.247,31/08/2019,0.4,3,9.9,0.05,44.5,0
BfS 49,70791852,272.86,-37.199,31/08/2019,0.4,2.1,6.2,0.04,38,0
BfS 50,70792117,272.207,-37.403,31/08/2019,0.4,2.7,1.5,0.02,25.8,0
BfS 51,70792231,237.067,-48.184,31/07/2021,0.5,1,10.4,0.1,32.6,0
BfS 52,70792375,235.628,-47.398,17/10/2021,0.4,0.9,3.3,0.07,49.7,0
BfS 53,70792445,236.614,-47.322,31/10/2021,0.4,20.4,27.5,0.02,22.2,0
BfS 54,70792463,236.839,-47.273,17/10/2021,0.4,0.3,1.8,0.18,24.1,0
BfS 55,70792507,236.701,-47.932,19/06/2021,0.5,0.7,2.9,0.1,15.9,0
BfS 56,70792542,235.884,-47.378,17/10/2021,0.4,4.7,29.7,0.05,40.6,0
BfS 57,70792578,236.787,-47.672,27/09/2021,0.5,0.2,12.3,0.76,0.2,1
BfS 58,70792640,236.045,-47.552,17/10/2021,0.4,4.2,8.3,0.04,30.8,0
BfS 59,70792656,236.271,-47.244,07/08/2021,0.4,4.3,5.7,0.03,33.1,0
BfS 60,70792673,237.774,-47.166,31/07/2021,0.6,1.3,3.1,0.05,50.4,0
BfS 61,70792680,237.816,-47.732,31/07/2021,0.6,2.6,8.3,0.04,41.8,0
BfS 62,70792689,236.974,-48.085,23/10/2021,0.4,5.8,21.4,0.03,25.8,0
BfS 63,70792709,236.908,-47.147,23/10/2021,0.4,4.1,11.6,0.04,32,0
BfS 64,70792753,237.413,-47.324,31/10/2021,0.6,8,83,0.06,33,0
BfS 65,70792803,237.946,-47.945,31/07/2021,0.6,0.6,1.4,0.07,49.6,0
BfS 66,70792836,237.318,-48.068,19/06/2021,0.4,0.1,0.7,0.18,32,0
BfS 67,70792856,235.627,-47.468,17/10/2021,0.6,0.6,4.1,0.13,48.5,0
BfS 68,70792874,236.501,-47.879,31/07/2021,0.7,4,31.8,0.06,16.8,0
BfS 69,70792923,235.831,-47.516,05/09/2021,0.5,0.7,0.9,0.05,39.7,0
BfS 70,70792950,237.244,-48.086,23/10/2021,0.6,5.7,23.6,0.03,30.9,0
BfS 71,70792982,237.261,-47.217,31/10/2021,0.6,0.5,6.4,0.2,33.5,0
BfS 72,70792990,237.207,-47.712,31/07/2021,0.4,4,2.9,0.02,17.2,0
BfS 73,70793015,235.65,-47.575,04/10/2021,0.4,0.9,2.7,0.06,46.3,0
BfS 74,70793035,235.482,-47.815,31/10/2021,0.6,1.9,18.9,0.08,53.2,0
BfS 75,70793087,282.321,-3.065,07/09/2019,0.6,1,9528.9,1.53,0,1
BfS 76,70793134,282.315,-2.99,30/11/2019,0.4,74.9,11.7,0.02,4.5,0
BfS 77,70793169,282.957,-3.192,10/04/2020,0.4,5.9,8,0.04,38.9,0
BfS 78,70793209,282.732,-2.533,30/11/2019,0.5,6.7,7.6,0.03,40.3,0
BfS 79,70793222,282.107,-3.352,19/10/2019,0.4,37.6,8.1,0.01,21.5,0
BfS 80,70793281,282.175,-2.841,07/12/2019,0.4,3.6,54.5,0.32,16,1
BfS 81,70793303,282.491,-3.292,10/04/2020,0.4,0.8,3.2,0.21,17,0
BfS 82,70793382,282.355,-3.728,07/09/2019,0.4,13.8,9.9,0.03,39.8,0
BfS 83,70793482,266.565,-32.234,21/09/2018,0.6,0.4,146.3,1.09,0,1
BfS 84,70793565,266.151,-32.564,27/10/2018,0.4,0.6,1.5,0.22,28.9,0
BfS 85,70793663,266.671,-32.234,19/10/2018,0.4,0.2,26.8,1.18,5.4,1
BfS 86,70793688,266.761,-32.828,27/10/2018,0.5,0.8,1.6,0.12,37,0
BfS 87,70793773,266.127,-32.06,28/09/2018,0.4,1,6.7,0.23,24.6,0
BfS 88,70793847,284.523,-9.106,05/08/2019,0.5,2.1,8.9,0.05,52.6,0
BfS 89,70793894,284.524,-7.907,05/08/2019,0.6,3.3,6.4,0.03,21.1,0
BfS 90,70793933,284.26,-8.211,05/08/2019,0.7,2.4,8.1,0.04,22.9,0
BfS 91,70794074,285.144,-8.774,05/08/2019,0.6,0.8,9.2,0.11,43.7,0
BfS 92,70794096,283.91,-8.295,05/08/2019,0.4,0.9,4.2,0.08,43.8,0
BfS 93,70794108,284.531,-8.706,05/08/2019,0.7,3.1,14.9,0.04,28.9,0
BfS 94,70794119,284.483,-8.148,05/08/2019,0.4,5.6,16.9,0.02,11,0
BfS 95,70794176,284.696,-7.772,05/08/2019,0.4,0.6,1,0.07,28.1,0
BfS 96,70794327,284.412,-7.658,05/08/2019,0.6,0.4,1.1,0.08,37.4,0
BfS 97,70794440,284.789,-8.391,05/08/2019,0.4,0.3,0.7,0.11,12.5,0
BfS 98,70794613,285.194,-8.346,05/08/2019,0.5,1.5,5.5,0.05,33.2,0
BfS 99,70794684,284.574,-8.078,05/08/2019,0.7,3.3,30.7,0.05,10.5,0
BfS 100,70794685,284.858,-7.609,05/08/2019,0.7,1.1,55.5,0.23,39.8,0
BfS 101,70794791,284.623,-8.379,05/08/2019,0.9,2.3,21.8,0.05,8.6,0
BfS 102,70794807,285.09,-8.988,05/08/2019,0.8,0.5,5.1,0.14,52.1,0
BfS 103,70794826,284.444,-8.611,05/08/2019,0.9,1.8,12.5,0.06,25.4,0
BfS 104,70794918,285.358,-8.161,05/08/2019,0.6,1.2,6.6,0.07,42.5,0
BfS 105,70794964,284.783,-8.853,05/08/2019,0.4,1.1,2.3,0.05,37.8,0
BfS 106,70795034,284.82,-8.057,05/08/2019,0.8,1.1,6.7,0.07,15,0
BfS 107,70795054,285,-8.12,05/08/2019,1,2.3,21.6,0.07,22.2,0
BfS 108,70795071,285.019,-8.57,05/08/2019,0.4,0.5,2.9,0.12,29.8,0
BfS 109,70795100,284.877,-8.091,05/08/2019,0.7,0.7,5,0.13,16.3,0
BfS 110,70795197,284.812,-8.673,05/08/2019,0.8,1.9,8.4,0.06,27.9,0
BfS 111,70795265,284.676,-8.695,05/08/2019,0.4,1.8,2.1,0.03,27.5,0
BfS 112,70795290,284.448,-7.598,05/08/2019,0.4,2.9,14.3,0.05,40.1,0
BfS 113,70795327,284.871,-8.073,05/08/2019,0.8,9,103,0.05,16.6,0
BfS 114,70795334,284.8,-7.904,05/08/2019,0.4,1.8,1.9,0.03,22,0
BfS 115,70795365,284.708,-8.128,05/08/2019,0.8,3.3,15.3,0.03,7.5,0
BfS 116,70795426,284.341,-7.904,05/08/2019,0.6,0.5,2.4,0.11,27,0
BfS 117,70795476,284.619,-7.956,05/08/2019,0.7,1.7,3.4,0.04,17,0
BfS 118,70795913,207.308,-62.922,17/11/2019,0.5,2,2.9,0.07,22.2,0
BfS 119,70795974,207.569,-63.676,09/04/2019,0.4,20.9,50.9,0.04,27.8,0
BfS 120,70796049,207.055,-63.273,09/04/2019,0.7,0.2,434.9,1.72,0.1,1
BfS 121,70796442,207.054,-63.274,01/02/2019,0.4,0.5,2936.6,1.88,0,1
BfS 122,70796444,207.993,-63.692,01/03/2019,0.4,2.3,3.7,0.07,35.6,0
BfS 123,70796614,274.548,7.188,14/10/2018,0.4,4.2,434.7,0.24,32.3,0
BfS 124,70796677,275.168,7.804,14/10/2018,0.6,8,487.9,0.24,37.4,0
BfS 125,70796699,274.869,6.912,14/10/2018,0.4,0.2,1.4,0.29,21.1,0
BfS 126,70796701,274.509,7.811,14/10/2018,0.6,1.3,81.5,0.26,51.1,0
BfS 127,70796797,275.12,6.698,14/10/2018,0.5,0.7,22.5,0.26,29.3,0
BfS 128,70796831,274.919,6.673,14/10/2018,0.4,0.2,3.4,0.4,32.4,0
BfS 129,70796842,274.773,7.007,14/10/2018,0.8,0.6,21.6,0.31,21.7,0
BfS 130,70796845,274.883,7.94,14/10/2018,0.4,0.2,3.3,0.31,47,0
BfS 131,70796863,274.588,7.085,14/10/2018,0.4,0.3,8.9,0.3,30.6,0
BfS 132,70796900,275.511,7.878,14/10/2018,0.4,0.8,28.2,0.31,48.5,0
BfS 133,70796970,274.727,7.523,14/10/2018,0.4,0.9,39.5,0.26,29.7,0
BfS 134,70796978,275.166,7.056,14/10/2018,0.6,0.6,14.5,0.31,8.9,0
BfS 135,70797098,275.11,6.915,14/10/2018,0.4,1.4,63.7,0.27,16.3,0
BfS 136,70797121,275.105,7.526,14/10/2018,0.4,0.5,6.1,0.28,20.5,0
BfS 137,70797142,275.235,6.442,14/10/2018,0.4,0.2,5.6,0.36,45.4,0
BfS 138,70797182,274.707,6.479,14/10/2018,0.6,2.4,322.8,0.36,48.2,1
BfS 139,70797198,275.717,7.629,14/10/2018,0.5,0.3,4.8,0.31,45.7,0
BfS 140,70797292,274.609,6.771,14/10/2018,0.5,0.4,9.2,0.32,38,0
BfS 141,70797295,274.819,6.766,14/10/2018,0.5,0.4,3.3,0.24,29.9,0
BfS 142,70797361,275.038,7.447,13/11/2018,0.7,0.5,14.2,0.32,16,0
BfS 143,70797376,274.875,7.784,14/10/2018,0.6,8.7,1052.6,0.26,38.2,0
BfS 144,70797391,275.126,7.338,14/10/2018,0.4,0.4,6.3,0.3,9.4,0
BfS 145,70797458,275.649,6.797,14/10/2018,0.7,0.8,8.2,0.32,40.5,0
BfS 146,70797482,274.98,7.739,14/10/2018,0.7,0.7,36.4,0.37,33.8,0
BfS 147,70797595,275.125,6.572,14/10/2018,0.7,3.8,520.9,0.28,36.9,1
BfS 148,70797626,274.716,7.064,14/10/2018,0.6,0.1,2,0.32,23.5,0
BfS 149,70797723,274.544,7.789,14/10/2018,0.4,0.3,8.7,0.28,48.7,0
BfS 150,70797725,275.532,7.768,14/10/2018,0.5,1.1,35.8,0.26,43.7,0
BfS 151,70797752,275.091,7.186,05/10/2018,0.7,0.2,1546.9,1.78,0,1
BfS 152,70797802,275.526,6.549,14/10/2018,0.6,0.6,10.2,0.27,46.1,0
BfS 153,70797809,275.818,7.101,14/10/2018,0.5,0.5,3.2,0.28,43.6,0
BfS 154,70797837,274.955,7.512,14/10/2018,0.4,0.9,18.1,0.25,21.2,0
BfS 155,70797847,275.93,7.263,14/10/2018,0.6,0.7,28.6,0.3,50.2,0
BfS 156,70797867,274.86,7.798,14/10/2018,0.7,0.6,6.8,0.24,39.2,0
BfS 157,70797932,275.014,7.75,14/10/2018,0.5,1.9,79.4,0.26,34.2,0
BfS 158,70798003,275.227,7.283,14/10/2018,0.4,12,853.4,0.26,10,0
BfS 159,70798081,275.063,7.475,14/10/2018,0.4,0.8,13.2,0.24,17.5,0
BfS 160,70798095,274.52,6.958,14/10/2018,0.6,0.9,25.4,0.24,36.7,0
BfS 161,70798104,274.469,6.777,10/04/2020,0.7,31.5,1686.3,0.3,44.4,1
BfS 162,70798126,274.372,7.327,14/10/2018,0.4,0.4,13,0.3,43.6,0
BfS 163,70798130,274.748,7.214,14/10/2018,0.6,1.3,81.3,0.27,20.5,0
BfS 164,70798239,275.506,7.48,14/10/2018,0.5,0.3,4.4,0.31,30.4,0
BfS 165,70798392,274.511,7.213,14/10/2018,0.5,1.1,96.5,0.3,34.6,0
BfS 166,70798400,275.445,7.451,14/10/2018,0.5,0.1,1.3,0.38,26.4,0
BfS 167,70798559,275.166,7.145,14/10/2018,0.6,8.9,409.4,0.24,5,0