RA,DEC
255.4235121,-48.77615685
255.364304,-48.96950397
254.710365,-48.8770313
255.4408931,-48.67484713
255.3686785,-48.49864009
255.1562874,-48.94621947
255.6337783,-48.85026589
255.2913699,-48.59738027
255.1170981,-48.42855196
256.9877084,-48.97198161
255.9173774,-48.66954512
255.7055908,-48.78963893
255.983073,-48.93225135
255.5572117,-48.56032264
256.4430122,-48.80619416
289.0840035,10.83643453
288.9644419,10.94027567
288.798172,10.94586916
288.4001574,10.35421651
282.2077963,-1.496864477
282.0983156,-1.399542476
282.2071283,-1.498915115
282.0797193,-1.679121018
271.3738103,-30.12010987
270.4241909,-29.80091763
271.2248743,-29.74007238
270.6871816,-30.53360997
271.0286188,-30.29301344
270.9336913,-29.95093197
270.6807347,-29.46648135
270.6991991,-29.56133492
271.3827551,-30.41134381
271.4240265,-30.14367313
270.5390173,-29.63708528
270.5591858,-29.46673258
271.1674781,-29.18879834
270.7616169,-29.83014454
270.3993037,-29.92256564
270.8326195,-29.28893709
271.5452265,-30.14062751
270.6496249,-29.85219427
270.4883133,-30.02194914
270.7234769,-29.52491294
270.3692862,-29.51080652
270.8986357,-29.29266859
272.6031626,-36.43384049
272.5170791,-37.48804927
273.0227998,-36.56814267
271.2483673,-37.24736369
272.8599775,-37.1990625
272.2068426,-37.40344781
237.0665765,-48.18377173
235.6279589,-47.39795639
236.6135937,-47.32234479
236.8389448,-47.27321067
236.7007467,-47.93244527
235.8836752,-47.37779435
236.7869707,-47.67150607
236.0448664,-47.55202733
236.2709102,-47.24448582
237.7741667,-47.16641747
237.8161432,-47.73154262
236.9742248,-48.0851389
236.9076266,-47.14662626
237.4125165,-47.32364521
237.9459496,-47.94493758
237.3179891,-48.06818166
235.6269574,-47.46770925
236.5009835,-47.87919503
235.8313608,-47.51569052
237.2439501,-48.08625739
237.2607237,-47.2166613
237.2070904,-47.7119038
235.6499238,-47.57548124
235.4817931,-47.815483
282.3212307,-3.065442638
282.3148978,-2.990445045
282.9573366,-3.191684654
282.9200922,-3.414538049
282.7317865,-2.532958861
282.1068909,-3.352449234
282.1748996,-2.841416214
282.4911306,-3.292355073
282.3552331,-3.727754582
266.5650466,-32.23403722
266.1510188,-32.56422917
266.6709035,-32.23431406
266.7607798,-32.82828615
266.1267447,-32.06037954
284.5231476,-9.10580138
284.5244015,-7.906791536
284.2603861,-8.211017118
285.1443034,-8.77413602
283.9102658,-8.295157115
284.5313737,-8.706428644
284.4833322,-8.147916928
284.6963234,-7.772040103
284.4124883,-7.658228875
284.7890531,-8.39102865
285.1939781,-8.346319213
284.5744797,-8.078002294
284.858355,-7.608800978
284.6225653,-8.378950244
285.0896816,-8.98780255
284.4442793,-8.610692405
285.3577217,-8.161400327
284.7833976,-8.852919251
284.8200543,-8.057092431
284.9996078,-8.120274333
285.0193431,-8.570385577
284.8768162,-8.090653821
284.8116285,-8.672504597
284.6764431,-8.695393341
284.4476281,-7.59843088
284.8714155,-8.073380055
284.8000157,-7.904442088
284.7076268,-8.128171586
284.3406655,-7.903733374
284.6193402,-7.956474217
207.3075247,-62.92222482
207.5692138,-63.67576955
207.0553407,-63.27331751
207.0536946,-63.27440012
207.9934299,-63.69243345
274.5484365,7.18784026
275.1675938,7.804329117
274.8691952,6.911633087
274.5085726,7.811159231
275.1203533,6.698283217
274.9193671,6.673240184
274.7734568,7.007261768
274.8825789,7.940412785
274.5882901,7.085050606
275.5111815,7.878214204
274.7265627,7.523046674
275.165843,7.05631079
275.1098526,6.915039723
275.1049862,7.526429594
275.2352733,6.441680353
274.707287,6.479065725
275.7165157,7.628621612
274.6093492,6.771328879
274.8194729,6.76604382
275.0375073,7.446936741
274.8745939,7.784135936
275.1263867,7.338260677
275.6486528,6.797204472
274.9803044,7.738512516
275.1253348,6.57207034
274.7155137,7.064475911
274.5440739,7.78917576
275.5317887,7.767851392
275.0913894,7.185637796
275.5259562,6.549152855
275.8181734,7.100595509
274.9547424,7.5117465
275.9303337,7.262992873
274.8600169,7.797899312
275.0139354,7.749803859
275.2267019,7.282758092
275.0634083,7.475379744
274.5198467,6.958416882
274.4692416,6.77733051
274.3724332,7.32672098
274.7477984,7.214106942
275.5060724,7.479955992
274.5111968,7.212532155
275.4447735,7.451008841
275.1657323,7.145264657